program,f01_totalBasicBlocks,f02_oneSuccessor,f03_twoSuccessor,f04_greaterTwoSuccessor,f05_onePredecessor,f06_twoPredecessor,f07_greaterTwoPredecessor,f08_onePredSuc,f09_onePred_twoSuc,f10_twoPred_oneSuc,f11_twoPredSuc,f12_greaterTwoPredSuc,f13_instructionLess15,f14_instructionInterval,f15_instructionGreater500,f16_numOfEdges,f17_numOfCriticalEdges,f18_abnormalEdge,f19_directCalls,f20_condBranch,f21_assigmentInstructions,f22_uncondBranch,f23_numOfIntOperations,f24_numOfFloatOperations,f25_numInstructions,f26_instructionAverage,f27_averagePhi,f28_averagePhiArgs,f29_blockWithoutPhi,f30_blockPhiIntervalNodes,f31_blockPhiGreater3Nodes,f32_blocksPhiGreater5Arg,f33_blocksPhiIntervalArg,f34_numOfSwitchInstruction,f35_numOfUnaryOperations,f36_ptrArithmetic,f37_indirectRefs,f38_addresVar,f39_addressFunction,f40_indirectCalls,f41_leftOpIntConst,f42_oneOperandConst,f43_callArgPtrType,f44_call4args,f45_ptrRetCallType,f46_intRetCallType,f47_constInt0,f48_constInt32bits,f49_constInt1,f50_constInt64bits,f51_numRefeOfLocalVar,f52_defUseCounter,f53_refLocalVariable,f54_refExterVariable,f55_localPtrVar,f56_staticPtrVar
510.parest_r,77973,25618,43376,525,44166,24984,5037,18039,21987,5941,16096,14,74492,3479,2,114350,44566,14403,36587,28973,251211,25618,30059,4019,382807,25110.86292,516.348528,4530.822737,64334,77749,224,1337,12302,525,890,0,13512,7420,16,1538,5078,20125,31646,184,2601,1734,70567,67037,35418,90215,406183,5130,249080,3241,114840,0
526.blender_r,248165,81931,127585,3472,121472,68483,23238,64573,53694,11508,47524,298,232447,15712,6,354742,151339,85,167648,127500,1032201,81931,82858,42769,1505763,250135.1967,3657.308568,29456.37358,200759,245957,2208,7903,39503,3472,3383,0,32687,14112,7190,14453,12846,61178,137353,13070,32667,21583,316969,366391,100321,337639,1557505,53790,1022141,39480,468070,9805
557.xz_r,2934,1136,1527,40,1651,790,286,892,713,176,540,5,2646,288,0,4442,1655,0,967,1527,14917,1136,3708,0,19746,1163.540753,56.449219,415.731001,2119,2794,140,314,501,40,0,0,176,88,38,58,371,1963,588,70,65,609,3195,5211,1410,3576,24943,353,14777,181,3354,27
631.deepsjeng_s,2050,744,1180,37,1221,522,219,602,590,94,394,3,1896,154,0,3260,1295,0,832,1180,9940,744,2652,24,13092,743.554717,17.773721,172.825725,1567,2036,14,82,401,37,0,0,1,1,0,0,212,1406,578,93,14,495,2654,3632,703,2642,14621,686,9897,346,1737,4
619.lbm_s,102,39,42,1,50,35,2,19,16,11,21,0,90,12,0,126,37,0,192,42,1683,39,342,520,1950,355.232462,5.490908,20.357143,78,100,2,2,22,1,9,0,8,6,0,0,26,316,76,4,4,28,50,73,56,409,2554,40,1661,23,339,21
620.omnetpp_s,48692,17146,22485,712,28549,11302,3463,13973,11449,2305,6285,26,47434,1258,0,65792,20097,6139,26985,16346,132655,17146,5809,380,211605,23859.27013,577.068868,6036.693369,41842,48596,96,680,6170,712,13,0,6330,4808,2,6580,2394,3563,22992,498,7669,6688,33115,35124,12707,44720,199773,12961,128930,8314,76862,1664
541.leela_r,2930,1040,1518,25,1584,912,208,784,691,178,590,0,2796,134,0,4153,1529,273,1407,1245,9493,1040,1338,26,14688,1462.347957,38.993611,260.648194,2364,2921,9,90,476,25,1,0,508,382,0,38,214,795,1229,17,114,241,3520,3317,1393,3719,15127,199,9429,138,3929,12
525.x264_r,10636,4201,5772,151,5831,3466,835,3209,2452,754,2518,35,9240,1394,2,16332,6300,0,4850,5772,74942,4201,14659,924,96266,10090.24769,188.565256,845.095684,8268,10456,180,463,1905,151,7,0,1161,895,192,559,1524,8190,3509,350,326,2359,18971,32951,6220,23218,108961,2334,74597,1193,22794,0
641.leela_s,2930,1040,1518,25,1584,912,208,784,691,178,590,0,2796,134,0,4153,1529,273,1407,1245,9493,1040,1338,26,14688,1462.347957,38.993611,260.648194,2364,2921,9,90,476,25,1,0,508,382,0,38,214,795,1229,17,114,241,3520,3317,1393,3719,15127,199,9429,138,3929,12
602.gcc_s,300544,96575,184094,8620,174975,82742,31721,72618,98558,17405,58654,1531,294047,6491,6,531574,260024,0,155990,184094,994066,96575,112547,130,1410461,68847.14186,1942.964652,43629.62872,252378,298355,2189,9035,39131,8620,1,0,32924,26352,234,3278,12085,93075,138885,7450,45763,56942,277289,456280,124070,226734,1351546,116698,980821,38424,391756,23781
605.mcf_s,517,148,337,2,253,176,60,122,128,17,143,0,482,35,0,829,428,0,178,337,2294,148,312,2,3235,190.192413,9.883277,56.138849,375,506,11,54,88,2,0,0,121,109,0,26,65,217,142,7,25,107,523,488,254,887,3777,70,2251,44,937,19
511.povray_r,23813,10691,11252,479,13879,6924,1684,8833,4725,1369,4815,29,21939,1874,0,37612,13042,111,19809,11141,107549,10691,6859,9954,154444,15598.12777,298.345328,2319.517589,19303,23437,376,889,3621,479,948,0,2277,1314,31,201,1761,5472,10763,661,1654,3654,23360,33789,12598,29893,179578,10296,105643,3463,32432,1482
623.xalancbmk_s,114897,30856,63198,776,65846,29944,8267,22952,33563,5822,19733,75,110217,4680,0,161088,64386,18649,40541,44549,384122,30856,21189,173,572985,50813.22101,918.562774,9687.562639,97985,114794,103,2380,14532,776,1,0,24380,18210,0,13938,5116,15342,37193,1360,12085,5611,102539,106658,38860,126102,567112,13862,381083,7553,231896,1506
657.xz_s,2934,1136,1527,40,1651,790,286,892,713,176,540,5,2646,288,0,4442,1655,0,967,1527,14917,1136,3708,0,19746,1163.540753,56.449219,415.731001,2119,2794,140,314,501,40,0,0,176,88,38,58,371,1963,588,70,65,609,3195,5211,1410,3576,24943,353,14777,181,3354,27
600.perlbench_s,76148,29445,42767,1834,47306,18778,8015,22291,23884,5134,12321,264,73669,2476,3,125777,49026,0,28961,42767,270324,29445,39389,137,381338,12411.49761,419.697594,4991.320528,62436,75445,703,2751,10961,1834,22,0,9260,7668,54,384,3373,29313,23654,1941,10261,6946,69051,96078,20282,68387,407370,24578,267315,11725,113414,10539
519.lbm_r,102,39,42,1,50,35,2,19,16,11,21,0,90,12,0,126,37,0,192,42,1683,39,342,520,1950,355.232462,5.490908,20.357143,78,100,2,2,22,1,9,0,8,6,0,0,26,316,76,4,4,28,50,73,56,409,2554,40,1661,23,339,21
538.imagick_r,33928,13287,19018,485,19708,10275,2927,10656,8694,1847,7832,70,32100,1827,1,54561,21566,0,25802,19018,149878,13287,12985,9966,202614,5719.711895,230.481874,2075.814665,25872,33411,517,1756,6300,485,395,0,4131,3936,32,198,2466,9205,19419,2861,8918,7558,33114,34863,13116,42666,238161,9533,144150,4999,49217,401
520.omnetpp_r,48692,17146,22485,712,28549,11302,3463,13973,11449,2305,6285,26,47434,1258,0,65792,20097,6139,26985,16346,132655,17146,5809,380,211605,23859.27013,577.068868,6036.693369,41842,48596,96,680,6170,712,13,0,6330,4808,2,6580,2394,3563,22992,498,7669,6688,33115,35124,12707,44720,199773,12961,128930,8314,76862,1664
625.x264_s,10636,4201,5772,151,5831,3466,835,3209,2452,754,2518,35,9240,1394,2,16332,6300,0,4850,5772,74942,4201,14659,924,96266,10090.24769,188.565256,845.095684,8268,10456,180,463,1905,151,7,0,1161,895,192,559,1524,8190,3509,350,326,2359,18971,32951,6220,23218,108961,2334,74597,1193,22794,0
544.nab_r,3197,1197,1822,76,1742,1044,336,856,845,265,686,9,3050,147,0,5203,2264,0,1705,1822,12665,1197,1736,544,17671,421.686542,23.184113,151.606954,2554,3170,27,120,523,76,62,0,483,253,0,3,200,1313,944,97,329,586,2524,3355,945,2709,19493,1199,12290,318,4116,423
644.nab_s,3197,1197,1822,76,1742,1044,336,856,845,265,686,9,3050,147,0,5203,2264,0,1705,1822,12665,1197,1736,544,17671,421.686542,23.184113,151.606954,2554,3170,27,120,523,76,62,0,483,253,0,3,200,1313,944,97,329,586,2524,3355,945,2709,19493,1199,12290,318,4116,423
638.imagick_s,33928,13287,19018,485,19708,10275,2927,10656,8694,1847,7832,70,32100,1827,1,54561,21566,0,25802,19018,149878,13287,12985,9966,202614,5719.711895,230.481874,2075.814665,25872,33411,517,1756,6300,485,395,0,4131,3936,32,198,2466,9205,19419,2861,8918,7558,33114,34863,13116,42666,238161,9533,144150,4999,49217,401
523.xalancbmk_r,114897,30856,63198,776,65846,29944,8267,22952,33563,5822,19733,75,110217,4680,0,161088,64386,18649,40541,44549,384122,30856,21189,173,572985,50813.22101,918.562774,9687.562639,97985,114794,103,2380,14532,776,1,0,24380,18210,0,13938,5116,15342,37193,1360,12085,5611,102539,106658,38860,126102,567112,13862,381083,7553,231896,1506
531.deepsjeng_r,2050,744,1180,37,1221,522,219,602,590,94,394,3,1896,154,0,3260,1295,0,832,1180,9940,744,2652,24,13092,743.554717,17.773721,172.825725,1567,2036,14,82,401,37,0,0,1,1,0,0,212,1406,578,93,14,495,2654,3632,703,2642,14621,686,9897,346,1737,4
500.perlbench_r,76148,29445,42767,1834,47306,18778,8015,22291,23884,5134,12321,264,73669,2476,3,125777,49026,0,28961,42767,270324,29445,39389,137,381338,12411.49761,419.697594,4991.320528,62436,75445,703,2751,10961,1834,22,0,9260,7668,54,384,3373,29313,23654,1941,10261,6946,69051,96078,20282,68387,407370,24578,267315,11725,113414,10539
502.gcc_r,300544,96575,184094,8620,174975,82742,31721,72618,98558,17405,58654,1531,294047,6491,6,531574,260024,0,155990,184094,994066,96575,112547,130,1410461,68847.14186,1942.964652,43629.62872,252378,298355,2189,9035,39131,8620,1,0,32924,26352,234,3278,12085,93075,138885,7450,45763,56942,277289,456280,124070,226734,1351546,116698,980821,38424,391756,23781
508.namd_r,14793,5798,8750,78,8207,4371,2092,4761,3401,346,3909,2,12407,2386,0,23665,9660,105,8456,8645,127292,5798,16612,12337,153036,1090.294536,83.236346,217.729806,10337,13637,1156,1814,2642,78,262,0,1498,1366,86,14,2845,13003,2396,263,776,994,16744,22941,11829,21469,214475,2117,127199,1291,35286,571
505.mcf_r,517,148,337,2,253,176,60,122,128,17,143,0,482,35,0,829,428,0,178,337,2294,148,312,2,3235,190.192413,9.883277,56.138849,375,506,11,54,88,2,0,0,121,109,0,26,65,217,142,7,25,107,523,488,254,887,3777,70,2251,44,937,19
